_index,description,title
[0],"El noruego reprochó la insistencia para que anuncie si sigue o no en el club alemán. El presidente del Dortmund, Hans-Joachim Watzke, lo niega.",Erling Haaland acusa al Borussia Dortmund de presionarlo para decidir su futuro
[1],"El ecuatoriano jugó como central en la victoria como visitantes 2-1 sobre el Borussia Monchengladbach, que significó el primer triunfo luego de cuatro jornadas.",Piero Hincapié titular en triunfo del Bayer Leverkusen
[2],"El ofensivo ecuatoriano vuelve del fútbol español, donde, entre otros, militó en el Real Madrid Castilla. Su último club fue el Torrent, de la tercera división.",Jordan Gaspar anuncia su vínculo con Liga de Quito
[3],El mediocampista brasileño asistió y marcó en su debut con el equipo que dirige Steven Gerard.,"Con Philippe Coutinho como figura, Aston Villa rescató un empate ante el Manchester United"
[4],"Los azules cayeron con Colo Colo en el Torneo de Verano que se disputa en Argentina. El golero tricolor salió por lesión, sin gravedad, en el segundo tiempo.","Debut de Hernán Galíndez, en derrota de la U. de Chile"
[5],"La tenista española también opinó sobre el asunto Djokovic: ""Todo el mundo sabía muy claramente las reglas. Solo tienes que seguirlos y listo"".","Garbiñe Muguruza: Esto podría haberse evitado, como todos hemos hecho, vacunándonos"
[6],"El ecuatoriano y el uruguayo fueron semifinalistas del Adelaida 1 la semana pasada, preparación que suman a esta final antes de enfrentar el Australian Open.",Dupla Gonzalo Escobar-Ariel Behar cae en la final del ATP 250 de Adelaida 2
[7],"Con la escudería ART GP, el piloto ecuatoriano correrá su segunda temporada en Fórmula 3, un “regreso verídico” a las pistas después del accidente en 2019.",Juan Manuel Correa: Estoy hambriento de un podio y un triunfo
[8],"Torneo de la FEF no se realizó los últimos dos años a causa de la pandemia de COVID-19. Esta temporada, se jugará entre mayo y octubre.","‘Cerca de $ 750.000′ ganará el campeón de la Copa Ecuador, que tendrá nuevo formato"
[9],Evert tenía antecedentes familiares de cáncer.,La leyenda del tenis Chris Evert padece de cáncer de ovario
[10],La más reciente incorporación de los amarillos dialogó con el programa oficial del club.,"Leonai Souza, el brasileño que vino a ‘triunfar en Barcelona SC’, utilizará el número 22"
[11],Un solitario tanto del mediocampista belga fue suficiente para que el cuadro de Pep Guardiola consiga su 12.° victoria consecutiva.,De Bruyne liquida al Chelsea y el Manchester City saca una gran ventaja en la carrera por el título
[12],"El piloto nacional correrá su segunda temporada con los franceses, parte del camino en su planificación para llegar a la Fórmula 1.",Juan Manuel Correa extiende contrato en Fórmula 3
[13],"Tras su paso por el fútbol de Suiza, el delantero ecuatoriano jugará en el equipo de la MLS propiedad del exfutbolista inglés David Beckham.",Leonardo Campana es nuevo jugador del Inter Miami CF
[14],"Es el primer campamento de natación en aguas abiertas que se organiza en Ecuador, precisaron las mentalizadoras de la actividad.",En Salango se llevará a cabo el primer campamento de natación en aguas abiertas de Ecuador con guía de Sara Palacios
[15],"El ucraniano Andriy Shevchenko fue despedido tras menos de dos meses en el cargo, tiempo en que sumó apenas tres puntos en nueve partidos.",Felipao se queda sin entrenador en Genoa
[16],El ecuatoriano fue convocado por Graham Potter pese a tener pocos días entrenando tras su retorno al cuadro de las Gaviotas.,Moisés Caicedo vio desde la banca el agónico empate del Brighton ante el Crystal Palace
[17],"Los amarillos han hecho cambios en su plantilla tras no ganar el título de 2021. ‘Pocho’, expresidente; y el ‘Colorado’, exvolante, hablan del número 10.","Alfonso Harb: Damián Díaz debe seguir en Barcelona SC; ‘es hora de renovación’, opina Marcelo Hurtado"
[18],"Garrincha brindó espectáculo en el Modelo, ante Barcelona. Estoy entre quienes vieron la demostración de fútbol más sensacional en estas tierras.",Botafogo y una noche inolvidable en 1963
[19],"Chalá, de 27 años, arribó de Argentina, donde no pudo ganarse el puesto de titular en el cuadro de Godoy Cruz de la ciudad de Mendoza.",El atacante Jeison Chalá llegó a Guayaquil para trabajar con Emelec
[20],,Botafogo y una noche inolvidable en 1963
[21],,Australia no quiere a Novak Djokovic
[22],,¿Todos con Novak Djokovic...?
[23],,"Una norma de una federación no puede estar por encima de la justicia de una nación. Te puedes librar una vez, pero no siempre"
[24],,‘El inmenso talento de Coutinho...’
